claim_id,doc,location,printed,kind,spec
sitext-0001,si,SI 2.1,40–44,static,"{""check"": ""model_seeds"", ""note"": """", ""value"": [40, 41, 42, 43, 44]}"
sitext-0002,si,SI 2.1,80%,static,"{""check"": ""reference_fraction"", ""note"": """", ""value"": 0.8}"
sitext-0003,si,SI 2.1,20%,static,"{""check"": ""query_fraction"", ""note"": """", ""value"": 0.2}"
sitext-0004,si,SI 2.1,40–44,static,"{""check"": ""split_seeds"", ""note"": """", ""value"": [40, 41, 42, 43, 44]}"
sitext-0005,si,SI 2.1,a one-cell stratum remains in the reference,assertion,"{""check"": ""singleton_stratum_reference""}"
sitext-0006,si,SI 2.1,Every evaluated query label occurs in the corresponding reference,assertion,"{""check"": ""closed_label""}"
sitext-0007,si,SI 2.1,"2,000-gene",static,"{""check"": ""n_hvg"", ""note"": """", ""value"": 2000}"
sitext-0008,si,SI 2.1,30-dimensional,static,"{""check"": ""common_dim"", ""note"": """", ""value"": 30}"
sitext-0009,si,SI 2.1,128 / 40 / 30 / 30 / 16-dimensional method-specific outputs,static,"{""check"": ""method_specific_dims"", ""note"": """", ""value"": [[30, 128], [30, 40], [30], [30], [16, 30]]}"
sitext-0010,si,SI 2.1,40 reference-fitted principal components,static,"{""check"": ""solar_pca_components"", ""note"": """", ""value"": 40}"
sitext-0011,si,SI 2.1,30-dimensional scVI and scANVI,static,"{""check"": ""refmap_dims"", ""note"": """", ""value"": 30}"
sitext-0012,si,SI 2.1,PCA50,static,"{""check"": ""trust_source_components"", ""note"": """", ""value"": 50}"
sitext-0013,si,SI 2.2,512-unit,static,"{""check"": ""hidden_dim"", ""note"": """", ""value"": 512}"
sitext-0014,si,SI 2.2,0.1,static,"{""check"": ""dropout"", ""note"": """", ""value"": 0.1}"
sitext-0015,si,SI 2.2,10−4,static,"{""check"": ""learning_rate"", ""note"": """", ""value"": 0.0001}"
sitext-0016,si,SI 2.2,512,static,"{""check"": ""batch_size"", ""note"": """", ""value"": 512}"
sitext-0017,si,SI 2.2,0.07,static,"{""check"": ""temperature"", ""note"": """", ""value"": 0.07}"
sitext-0018,si,SI 2.2,0.2,static,"{""check"": ""margin"", ""note"": """", ""value"": 0.2}"
sitext-0019,si,SI 2.2,1.0,static,"{""check"": ""gradient_clip_norm"", ""note"": """", ""value"": 1.0}"
sitext-0020,si,SI 2.2,zero weight decay,static,"{""check"": ""weight_decay"", ""note"": """", ""value"": 0.0}"
sitext-0021,si,SI 2.2,10 epochs,static,"{""check"": ""patience"", ""note"": """", ""value"": 10}"
sitext-0022,si,SI 2.2,10−4,static,"{""check"": ""min_delta"", ""note"": """", ""value"": 0.0001}"
sitext-0023,si,SI 2.2,50 epochs,static,"{""check"": ""max_epochs"", ""note"": """", ""value"": 50}"
sitext-0024,si,SI 2.2,restores the best validation-loss checkpoint,assertion,"{""check"": ""best_checkpoint""}"
