dataset_id,heldout_batch,n_reference,n_query,n_celltypes_reference,n_celltypes_query,n_celltypes_query_only,fraction_query_cells_label_supported_by_reference,selected_for_training,selection_rank_by_query_size,selection_rule
immune_cell_human,Villani,32484,1022,16,4,0,1.0,True,1,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
immune_cell_human,Sun_sample1_CS,31781,1725,16,8,0,1.0,False,2,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
immune_cell_human,Sun_sample2_KC,31225,2281,16,9,0,1.0,False,3,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
immune_cell_human,Sun_sample3_TB,31103,2403,16,9,0,1.0,False,4,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
immune_cell_human,Sun_sample4_TC,31086,2420,16,9,0,1.0,False,5,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
immune_cell_human,Oetjen_A,30920,2586,16,16,0,1.0,True,6,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
immune_cell_human,Oetjen_P,30241,3265,16,15,0,1.0,False,7,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
immune_cell_human,Freytag,30159,3347,16,9,0,1.0,False,8,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
immune_cell_human,Oetjen_U,29776,3730,16,16,0,1.0,False,9,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
immune_cell_human,10X,22779,10727,16,12,0,1.0,True,10,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
lung_atlas,3,32010,462,17,10,0,1.0,True,1,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
lung_atlas,A4,31767,705,17,9,0,1.0,False,2,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
lung_atlas,1,31568,904,17,10,0,1.0,False,3,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
lung_atlas,A3,31246,1226,17,12,0,1.0,False,4,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
lung_atlas,A2,31018,1454,17,13,0,1.0,False,5,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
lung_atlas,A1,30627,1845,17,12,0,1.0,False,6,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
lung_atlas,B3,30561,1911,17,11,0,1.0,False,7,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
lung_atlas,2,30484,1988,17,12,0,1.0,False,8,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
lung_atlas,B1,30332,2140,17,11,0,1.0,True,9,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
lung_atlas,B4,30119,2353,17,11,0,1.0,False,10,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
lung_atlas,5,30093,2379,17,15,0,1.0,False,11,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
lung_atlas,A5,30066,2406,17,12,0,1.0,False,12,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
lung_atlas,A6,30062,2410,17,12,0,1.0,False,13,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
lung_atlas,6,29243,3229,17,10,0,1.0,False,14,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
lung_atlas,B2,29175,3297,17,11,0,1.0,False,15,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
lung_atlas,4,28709,3763,17,12,0,1.0,True,16,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
pancreas,fluidigmc1,15744,638,14,13,0,1.0,True,1,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
pancreas,celseq,15378,1004,14,13,0,1.0,False,2,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
pancreas,inDrop4,15079,1303,14,14,0,1.0,False,3,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
pancreas,smarter,14890,1492,14,4,0,1.0,False,4,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
pancreas,inDrop2,14658,1724,14,14,0,1.0,True,5,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
pancreas,inDrop1,14445,1937,14,14,0,1.0,False,6,"Per dataset: smallest, one middle, and largest n_query among all possible held-out batches, ranked before any label-composition or metric inspection. selection_rank_by_query_size=1 is smallest."
