claim_id,doc,location,printed,kind,spec
main-0001,main,Abstract,nine,derived,"{""check"": ""n_real_query_batches"", ""value"": 9}"
main-0002,main,Abstract,0.811,summary,"{""dim"": 30, ""method"": ""solar_orthogonal"", ""metric"": ""macro_f1"", ""population"": ""query"", ""stat"": ""mean""}"
main-0003,main,Abstract,0.774,summary,"{""dim"": 30, ""method"": ""unintegrated_pca_matched"", ""metric"": ""macro_f1"", ""population"": ""query"", ""stat"": ""mean""}"
main-0004,main,Abstract,0.815,summary,"{""dim"": 30, ""method"": ""sclsc_refonly"", ""metric"": ""macro_f1"", ""population"": ""query"", ""stat"": ""mean""}"
main-0005,main,Abstract,0.838,summary,"{""dim"": 30, ""method"": ""frozen_reference_scanvi"", ""metric"": ""macro_f1"", ""population"": ""query"", ""stat"": ""mean""}"
main-0006,main,Abstract,30,static,"{""check"": ""common_dim"", ""note"": """", ""value"": 30}"
main-0007,main,Abstract,0.574,summary,"{""dim"": 30, ""method"": ""unintegrated_pca_matched"", ""metric"": ""ASW_label"", ""population"": ""joint"", ""stat"": ""mean""}"
main-0008,main,Abstract,0.873,summary,"{""dim"": 30, ""method"": ""solar_orthogonal"", ""metric"": ""ASW_label"", ""population"": ""joint"", ""stat"": ""mean""}"
main-0009,main,Abstract,128,static,"{""check"": ""anchor_control_dim"", ""note"": """", ""value"": 128}"
main-0010,main,Abstract,repetition mainly increased label separation and local batch diversity,assertion,"{""check"": ""repeated_increases_separation""}"
main-0011,main,Abstract,lower local-structure scores,assertion,"{""check"": ""repeated_lowers_local_structure""}"
main-0012,main,3.1 Study design,1,non_result,"{""note"": ""equation-style dataset notation i=1..n_D""}"
main-0013,main,3.1 Study design,five,derived,"{""check"": ""n_datasets"", ""value"": 5}"
main-0014,main,3.1 Study design,80%,static,"{""check"": ""reference_fraction"", ""note"": """", ""value"": 0.8}"
main-0015,main,3.1 Study design,20%,static,"{""check"": ""query_fraction"", ""note"": """", ""value"": 0.2}"
main-0016,main,3.1 Study design,40–44,static,"{""check"": ""split_seeds"", ""note"": """", ""value"": [40, 41, 42, 43, 44]}"
main-0017,main,3.1 Study design,A one-cell stratum remains in the reference,assertion,"{""check"": ""singleton_stratum_reference""}"
main-0018,main,3.1 Study design,"Batch identity, not its biological labels, determines this split",assertion,"{""check"": ""heldout_labels_unused""}"
main-0019,main,3.1 Study design,Three,derived,"{""check"": ""n_heldout_batches_per_dataset"", ""value"": 3}"
main-0020,main,3.1 Study design,selected to span query sizes,assertion,"{""check"": ""batch_selection_span""}"
main-0021,main,3.1 Study design,nine,derived,"{""check"": ""n_real_query_batches"", ""value"": 9}"
main-0022,main,3.1 Study design,All evaluated query labels occur in the corresponding reference,assertion,"{""check"": ""closed_label""}"
main-0023,main,3.1 Study design,40–44,static,"{""check"": ""model_seeds"", ""note"": """", ""value"": [40, 41, 42, 43, 44]}"
main-0024,main,3.1 Study design,1,non_result,"{""note"": ""equation number (1)""}"
main-0025,main,3.2 Preprocessing,"2,000",static,"{""check"": ""n_hvg"", ""note"": """", ""value"": 2000}"
main-0026,main,3.2 Preprocessing,Cell Ranger-style,static,"{""check"": ""hvg_flavor"", ""note"": """", ""value"": ""cell_ranger""}"
main-0027,main,3.2 Preprocessing,using reference batch as the batch key,static,"{""check"": ""hvg_batch_aware"", ""note"": """", ""value"": true}"
main-0028,main,Table 1,"33,506",derived,"{""check"": ""dataset_cells"", ""dataset"": ""immune_cell_human"", ""value"": 33506}"
main-0029,main,Table 1,16,derived,"{""check"": ""dataset_labels"", ""dataset"": ""immune_cell_human"", ""value"": 16}"
main-0030,main,Table 1,3,derived,"{""check"": ""n_heldout_batches_per_dataset"", ""dataset"": ""immune_cell_human"", ""value"": 3}"
main-0031,main,Table 1,"32,472",derived,"{""check"": ""dataset_cells"", ""dataset"": ""lung_atlas"", ""value"": 32472}"
main-0032,main,Table 1,17,derived,"{""check"": ""dataset_labels"", ""dataset"": ""lung_atlas"", ""value"": 17}"
main-0033,main,Table 1,3,derived,"{""check"": ""n_heldout_batches_per_dataset"", ""dataset"": ""lung_atlas"", ""value"": 3}"
main-0034,main,Table 1,"16,382",derived,"{""check"": ""dataset_cells"", ""dataset"": ""pancreas"", ""value"": 16382}"
main-0035,main,Table 1,14,derived,"{""check"": ""dataset_labels"", ""dataset"": ""pancreas"", ""value"": 14}"
main-0036,main,Table 1,3,derived,"{""check"": ""n_heldout_batches_per_dataset"", ""dataset"": ""pancreas"", ""value"": 3}"
main-0037,main,Table 1,"12,097",derived,"{""check"": ""dataset_cells"", ""dataset"": ""simulation_1"", ""value"": 12097}"
main-0038,main,Table 1,7,derived,"{""check"": ""dataset_labels"", ""dataset"": ""simulation_1"", ""value"": 7}"
main-0039,main,Table 1,3,derived,"{""check"": ""n_heldout_batches_per_dataset"", ""dataset"": ""simulation_1"", ""value"": 3}"
main-0040,main,Table 1,1,non_result,"{""note"": ""dataset name 'Simulation N'""}"
main-0041,main,Table 1,"19,318",derived,"{""check"": ""dataset_cells"", ""dataset"": ""simulation_2"", ""value"": 19318}"
main-0042,main,Table 1,4,derived,"{""check"": ""dataset_labels"", ""dataset"": ""simulation_2"", ""value"": 4}"
main-0043,main,Table 1,3,derived,"{""check"": ""n_heldout_batches_per_dataset"", ""dataset"": ""simulation_2"", ""value"": 3}"
main-0044,main,Table 1,2,non_result,"{""note"": ""dataset name 'Simulation N'""}"
